"Permit_Number","Date_of_Submission","Date_of_Permit_Issuance","Completed_Date","Expiration_Date","Permit_Name","Work_Type","Primary_Work_Scope","Permit_Status","HRM_ID","Civic_Number","Street_Name","Community","PID","Most_Recent_Inspection","Type_of_Structure","Work_Description","Active_Parcel","Date_Inspection_Completed",District,Inspection_Outcome
"BLAST-2022-05334","2022-04-27 12:00:00","2022-05-04 12:00:00","2024-08-01 12:00:00","2022-11-04 12:00:00","Blasting Permit","Blasting","Blasting","Expired (Closed)",,,,,"40048969","Engineering - BLA - Blasting Final","Commercial","Blasting for Bayers Lake NW Corner
Reapplying for BLAST-2021-18338 which will expire on May 10/22","Y","2024-04-09 12:00:00","District 12","Passed"
"BLAST-2024-14199","2024-09-23 12:00:00","2024-10-30 12:00:00",,"2025-04-30 12:00:00","Blasting Permit","Blasting","Blasting","Issued",4814,"1943","LARRY UTECK BLVD","BEDFORD","40301368",,"Commercial","Blasting for new subdivision.
Reapplying for permit BLAST-2024-04678 which expires October 22","Y",,"District 16",
"DEV-ROW-2021-14835","2021-08-23 12:00:00","2021-09-15 12:00:00","2021-10-28 12:00:00","2022-09-13 12:00:00","Development - Right of Way Permit","Street Closure","Street Closure","Completed",,,,,,,"Commercial","Closure of Broad St. between Larry Utek and Gary Martin Drive to install services for West Bedford Phase 8-1",,,"Unidentified",
"DEV-ROW-2021-19420","2021-11-26 12:00:00","2021-11-30 12:00:00","2022-11-29 12:00:00","2022-11-29 12:00:00","Development - Right of Way Permit","Utility Work","Underground / Buried Laterals","Cancelled",700001438,,"HIGHWAY 2","WELLINGTON",,"Traffic Management - ROW - Pre-Construction","Dwelling - Single Detached","Water line from road to property line then to house",,"2022-10-12 12:00:00","Unidentified","Cancelled"
"DEV-ROW-2022-03116","2023-09-19 12:00:00",,"2023-09-29 12:00:00",,"Development - Right of Way Permit","Utility Work","Underground / Buried Laterals","Withdrawn",200000136,,"RODNEY RD","DARTMOUTH",,,"Dwelling - Single Detached","Replacing lead water lines @ 30 & 32 Rodney Road, Dartmouth for HRWC - batch 32",,,"Unidentified",
"DEV-ROW-2022-07098","2022-05-19 12:00:00","2022-09-08 12:00:00",,"2025-10-25 12:00:00","Development - Right of Way Permit","Utility Work","Underground / Buried Laterals","Issued",,,,,,"Traffic Management - ROW - Reinstatement","Commercial","Utility permit for Water and Sanitary ROW tie-ins for a new 130,400 sf multi-tenant warehouse on Wilkinson Ave.",,"2023-09-22 12:00:00","Unidentified","Passed"
"DEV-ROW-2022-11792","2022-09-25 12:00:00","2022-09-28 12:00:00","2024-09-23 12:00:00","2024-12-16 12:00:00","Development - Right of Way Permit","Utility Work","Underground / Buried Laterals","Completed",300002484,,"HILLARY ST","HALIFAX",,"Traffic Management - ROW - Warranty","Dwelling - Single Detached","Demolition of current home and abandoning of water and sewer laterals",,"2024-09-23 12:00:00","Unidentified","Passed"
"DEV-ROW-2023-00122","2023-01-19 12:00:00","2023-02-03 12:00:00","2023-12-08 12:00:00","2023-12-01 12:00:00","Development - Right of Way Permit","Temporary Work","Encroachment Only","Completed",300001739,,"SPRING GARDEN RD","HALIFAX",,"Engineering - ROWD - Encroachment Final","Commercial","Encroachment permit for installing fascia sign on building - MELTWICH",,"2023-12-08 12:00:00","Unidentified","Passed"
"DEV-ROW-2023-03707","2023-04-14 12:00:00","2023-04-19 12:00:00","2024-04-19 12:00:00","2024-04-19 12:00:00","Development - Right of Way Permit","Utility Work","Pole & Anchor","Expired (Closed)",200001632,,"WAVERLEY RD","DARTMOUTH",,,"Not Associated to a Building","NST 45' CL3 CCA POLE",,,"Unidentified",
"DEV-ROW-2023-07369","2023-06-23 12:00:00","2023-06-27 12:00:00","2024-07-02 12:00:00","2024-06-28 12:00:00","Development - Right of Way Permit","Utility Work","Pole & Anchor","Expired (Closed)",200003031,,"CHATER DR","WESTPHAL",,,"Not Associated to a Building","WL2: Install 40' CCA CL4, 35' CCA CL4 stub pole and 2 anchors
WL3: Install 40' CCA CL4 pole and 2 anchors
WL4: Install 40' CCA CL4 pole and 1 anchor

NSPI Planner: Ross MacPherson, 902-266-3308
NSPI WO: 5372051",,,"Unidentified",
"DEV-ROW-2023-11707","2023-08-30 12:00:00","2023-08-31 12:00:00","2024-01-02 12:00:00","2023-12-31 12:00:00","Development - Right of Way Permit","Temporary Work","Encroachment Only","Expired (Closed)",200000586,,"ALDERNEY DR","DARTMOUTH",,,"Commercial","Overhead sidewalk protection at 33 Alderney Drive (Belmont House) to facilitate reglazing (caulking) windows.  Sidewalk encroachment only, not a sidewalk closure.",,,"Unidentified",
"DEV-ROW-2023-14924","2023-11-14 12:00:00","2023-11-16 12:00:00",,"2025-11-15 12:00:00","Development - Right of Way Permit","Driveway Access","Driveway Access","Issued",167138,"102","SEAGLASS LANE","UPPER HAMMONDS PLAINS","41419755","Engineering - ROWD - Pre-Construction","Dwelling - Multiple Units","This application is to allow driveway access to a new 46 unit townhouse development on the SC-1 Block on Pockwock Rd., owned by Syed Hussain, PID 41419755.","Y","2023-11-22 12:00:00","District 14","Passed"
"DEV-ROW-2024-02423","2024-04-06 12:00:00","2024-04-16 12:00:00",,"2026-05-14 12:00:00","Development - Right of Way Permit","Driveway Access","Driveway Access","Issued",179013,"181","HOWE AVE","FALL RIVER","40300964","Engineering - ROWD - Reinstatement","Dwelling - Multiple Units","Extending Driveway","Y","2024-05-07 12:00:00","District 01","Passed"
"DEV-ROW-2024-06035","2024-05-14 12:00:00","2024-05-17 12:00:00",,"2025-05-30 12:00:00","Development - Right of Way Permit","Driveway Access","Driveway Access","Issued",135256,"685","WESTWOOD BLVD","UPPER TANTALLON","41179656","Engineering - ROWD - Pre-Construction","Dwelling - Single Detached","New driveway with culvert and headwall for Lot 8058","Y","2024-05-24 12:00:00","District 13","Passed"
"DEV-ROW-2024-09910","2024-07-25 12:00:00","2024-07-26 12:00:00",,"2025-07-26 12:00:00","Development - Right of Way Permit","Temporary Work","Crane","Issued",300002190,,"SOUTH PARK ST","HALIFAX",,,"Dwelling - Multiple Units","8 Story apartment building, with 55 units. One level of underground parking. This is a completely new build. 
Address is 1018 South Park Street right at the corner of South Park and Inglis.",,,"Unidentified",
"DEV-ROW-2024-16806","2024-11-12 12:00:00","2025-01-29 12:00:00",,"2026-01-23 12:00:00","Development - Right of Way Permit","Driveway Access","Driveway Access","Issued",51796,"370","WINDMILL RD","DARTMOUTH","00063545","Engineering - ROWD - Pre-Construction","Institutional and Governmental","Associated with Building permit #BPCOM-2024-10811","Y","2025-01-29 12:00:00","District 05","Passed"
"DEV-ROW-2025-01097","2025-01-27 12:00:00",,,,"Development - Right of Way Permit","Utility Work","Underground / Buried Mains","Applicant Revisions",200000168,,"NEPTUNE CRES","DARTMOUTH",,,"Commercial","This project requires a new water and sewer services replacing existing from the mains to the building.",,,"Unidentified",
"GP-2021-00409","2021-01-12 12:00:00","2021-03-26 12:00:00",,"2025-06-26 12:00:00","Lot Grading Permit","Associated to a Building","New","Issued",160632,"121","PINEHAVEN DR","BEAVER BANK","41365081","Engineering - LOT - Lot Grading","Residential","final grading","Y","2021-12-14 12:00:00","District 15","Partially Passed"
"GP-2021-01868","2021-02-04 12:00:00","2021-02-19 12:00:00","2023-01-19 12:00:00","2023-02-19 12:00:00","Grade Alteration Permit","Associated to a Building","New or Addition","Completed",67741,"30","ESTATES RD","DARTMOUTH","40278301","Engineering - GRA - Compliance","Commercial","Construct 10,800 SF addition.","Y","2023-01-18 12:00:00","District 03","Passed"
"GP-2021-03161","2021-05-06 12:00:00",,,,"Grade Alteration Permit","Associated to a Building","New Building","Applicant Revisions",165659,"15","MAGENTA DR","MIDDLE SACKVILLE","41419961",,"Commercial","construction of new office building","Y",,"District 14",
"GP-2021-04248","2021-03-16 12:00:00","2022-03-10 12:00:00","2022-11-22 12:00:00","2022-11-30 12:00:00","Development - Right of Way Permit","Temporary Work","Encroachment Only","Completed",,,,,,"Engineering - ROWD - Encroachment Final","Commercial","Permanent Encroachment Agreement 
construct (4) utility duct banks within the ROW

CMP not required. Permit is for Permanent Encroachment as per Lisa Smith.",,"2022-11-22 12:00:00","Unidentified","Passed"
